본부,연도,생활안전출동_합계,벌집제거_출동,출처,벌집제거_비중,전년대비_증감률
경북,2023,44438,21693,2024 소방청 통계연보 4-2-1-1 (part04 p.147),48.8,
경북,2024,51835,30068,2025 소방청 통계연보 4-2-1-1 (p.149),58.0,38.6
경북,2025,45761,24583,2026 소방청 통계연보 4-2-1-1 (p.153),53.7,-18.2
대구,2023,20924,5998,2024 소방청 통계연보 4-2-1-1 (part04 p.147),28.7,
대구,2024,26970,9784,2025 소방청 통계연보 4-2-1-1 (p.149),36.3,63.1
대구,2025,25662,8212,2026 소방청 통계연보 4-2-1-1 (p.153),32.0,-16.1
전국,2023,611054,232933,2024 소방청 통계연보 4-2-1-1 (part04 p.147),38.1,
전국,2024,669756,304821,2025 소방청 통계연보 4-2-1-1 (p.149),45.5,30.9
전국,2025,585118,235804,2026 소방청 통계연보 4-2-1-1 (p.153),40.3,-22.6
